,artist_id,artist_name,artist_popularity,artist_followers,artist_image,artist_genres
0,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,97,9021259,https://i.scdn.co/image/67497c55a766af3f57860c88562314a313fc137c,['rap']
1,3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,80,1402736,https://i.scdn.co/image/eb14d305790380b432a6ca7ace3155f7ef2b78d5,['escape room']
2,0vn7UBvSQECKJm2817Yf1P,James Taylor,73,1217128,https://i.scdn.co/image/5f895bab4afdbb83924abdbe0911666e398394b5,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
3,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,91,11464991,https://i.scdn.co/image/b1414e865a16bc0080085ee1901d0bfd19f83fcb,"['chicago rap', 'rap']"
4,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,98,19994456,https://i.scdn.co/image/91c55730d3f156894d744d560afe441af3f5a228,"['canadian contemporary r&b', 'canadian pop', 'pop']"
5,246dkjvS1zLTtiykXe5h60,Post Malone,96,24424355,https://i.scdn.co/image/9040899d5660920fdf7efeb7aa2cc4e6d86f86f6,"['dfw rap', 'melodic rap', 'rap']"
6,5T0MSzX9RC5NA6gAI6irSn,Estelle,70,184733,https://i.scdn.co/image/546acc5290f1030ca5a39ef9e51bd20b3e2b3b96,['r&b']
7,1AhjOkOLkbHUfcHDSErXQs,88rising,75,463276,https://i.scdn.co/image/c803336605bcba36c961eba7604c579df2b01379,['pop']
8,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,84,5708522,https://i.scdn.co/image/ef90a19321978c4431246870132c3a6540412806,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
9,4ETSs924pXMzjIeD6E9b4u,Surfaces,85,370993,https://i.scdn.co/image/ee52cbc6158619a83263fc5d929d9a6cff85d2c9,"['bedroom soul', 'pop']"
10,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,95,24784428,https://i.scdn.co/image/19589ec4cf860e7675fbeff0783ad71b2e7601a7,"['electropop', 'pop']"
11,2eam0iDomRHGBypaDQLwWI,Bleachers,66,364893,https://i.scdn.co/image/40d8cc48d1e815b1b4de04b413276ccbff501330,"['indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp and holler']"
12,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,81,5632113,https://i.scdn.co/image/7d40296db84567ff1f76c6bb3a561de53bccadb3,"['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock']"
13,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,86,5204453,https://i.scdn.co/image/027c5605d895158497ff377d92d69fe89dba1730,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
14,4LLpKhyESsyAXpc4laK94U,Mac Miller,87,4224852,https://i.scdn.co/image/fc5a96c07e5405d083bdce4da9e23990a3e6002f,"['hip hop', 'pittsburgh rap', 'rap']"
15,0hEurMDQu99nJRq8pTxO14,John Mayer,84,4475231,https://i.scdn.co/image/c0f28fcc6e8482b2e49bd5a3720200d4e5a1875b,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']"
